nr,i1_legid,i1_rcs_p,i1_rcs_e,i1_dep_1_p,i1_dep_1_e,i1_dep_1_place,i1_rcf_1_p,i1_rcf_1_e,i1_rcf_1_place,i1_dep_2_p,i1_dep_2_e,i1_dep_2_place,i1_rcf_2_p,i1_rcf_2_e,i1_rcf_2_place,i1_dep_3_p,i1_dep_3_e,i1_dep_3_place,i1_rcf_3_p,i1_rcf_3_e,i1_rcf_3_place,i1_dlv_p,i1_dlv_e,i1_hops,i2_legid,i2_rcs_p,i2_rcs_e,i2_dep_1_p,i2_dep_1_e,i2_dep_1_place,i2_rcf_1_p,i2_rcf_1_e,i2_rcf_1_place,i2_dep_2_p,i2_dep_2_e,i2_dep_2_place,i2_rcf_2_p,i2_rcf_2_e,i2_rcf_2_place,i2_dep_3_p,i2_dep_3_e,i2_dep_3_place,i2_rcf_3_p,i2_rcf_3_e,i2_rcf_3_place,i2_dlv_p,i2_dlv_e,i2_hops,i3_legid,i3_rcs_p,i3_rcs_e,i3_dep_1_p,i3_dep_1_e,i3_dep_1_place,i3_rcf_1_p,i3_rcf_1_e,i3_rcf_1_place,i3_dep_2_p,i3_dep_2_e,i3_dep_2_place,i3_rcf_2_p,i3_rcf_2_e,i3_rcf_2_place,i3_dep_3_p,i3_dep_3_e,i3_dep_3_place,i3_rcf_3_p,i3_rcf_3_e,i3_rcf_3_place,i3_dlv_p,i3_dlv_e,i3_hops,o_legid,o_rcs_p,o_rcs_e,o_dep_1_p,o_dep_1_e,o_dep_1_place,o_rcf_1_p,o_rcf_1_e,o_rcf_1_place,o_dep_2_p,o_dep_2_e,o_dep_2_place,o_rcf_2_p,o_rcf_2_e,o_rcf_2_place,o_dep_3_p,o_dep_3_e,o_dep_3_place,o_rcf_3_p,o_rcf_3_e,o_rcf_3_place,o_dlv_p,o_dlv_e,o_hops,legs
3747,5610,996,399,150,696,361,135,138,128,690,714,128,655,682,174,?,?,?,?,?,?,4230,21488,2,10773,195,31,240,339,815,825,722,174,?,?,?,?,?,?,?,?,?,?,?,?,5400,398,1,8717,1164,713,90,475,700,625,219,174,?,?,?,?,?,?,?,?,?,?,?,?,3780,4997,1,7135,4610,3265,90,1403,174,625,278,700,3140,3477,700,1155,717,426,?,?,?,?,?,?,3780,60,2,3
3748,9418,102,121,180,115,128,275,215,524,?,?,?,?,?,?,?,?,?,?,?,?,4140,100,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,272,1128,405,300,963,524,315,245,815,475,536,815,970,916,403,?,?,?,?,?,?,5160,3533,2,1
3749,10105,558,356,120,212,236,90,101,815,590,653,815,295,188,485,?,?,?,?,?,?,5160,162,2,10399,64,44,135,146,815,285,148,485,?,?,?,?,?,?,?,?,?,?,?,?,5160,285,1,9973,191,47,135,216,815,290,203,485,?,?,?,?,?,?,?,?,?,?,?,?,5160,183,1,12957,1620,799,150,947,485,1610,1385,742,?,?,?,?,?,?,?,?,?,?,?,?,2520,329,1,3
3750,4539,1105,34,240,1261,815,760,702,609,?,?,?,?,?,?,?,?,?,?,?,?,7680,1281,1,10461,1395,337,240,1248,815,760,707,609,?,?,?,?,?,?,?,?,?,?,?,?,7740,799,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,8093,1295,1197,240,327,609,765,707,128,3025,3047,128,1045,685,561,?,?,?,?,?,?,3960,585,2,2
3751,8418,3966,3939,150,115,377,285,230,485,?,?,?,?,?,?,?,?,?,?,?,?,5160,2829,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,12696,2613,2491,180,273,485,885,823,149,345,391,149,565,455,174,?,?,?,?,?,?,6960,2678,2,1
3752,10064,23,24,135,79,815,285,300,485,?,?,?,?,?,?,?,?,?,?,?,?,5160,312,1,8007,160,132,300,348,308,780,633,485,?,?,?,?,?,?,?,?,?,?,?,?,1140,754,1,4004,78,34,135,124,815,295,312,485,?,?,?,?,?,?,?,?,?,?,?,?,5160,149,1,7688,1740,642,180,4126,485,885,898,149,?,?,?,?,?,?,?,?,?,?,?,?,6680,8389,1,3
3753,5455,7165,6732,90,467,206,805,468,700,1740,2089,700,1060,801,113,?,?,?,?,?,?,3780,199,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,12013,6136,6042,90,143,113,1275,823,700,770,1207,700,955,518,593,?,?,?,?,?,?,3780,183,2,1
3754,13689,471,68,240,598,128,825,683,609,?,?,?,?,?,?,?,?,?,?,?,?,3960,57328,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,4999,378,38,300,583,609,820,839,815,2265,2251,815,440,222,737,?,?,?,?,?,?,5580,493,2,1
3755,8234,3414,3321,90,170,413,860,548,700,670,937,700,735,390,187,?,?,?,?,?,?,3780,2444,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,5097,608,468,240,320,187,625,653,349,5030,5031,349,2305,1205,293,?,?,?,?,?,?,4625,1093,2,1
3756,11070,231,45,135,262,815,290,177,485,?,?,?,?,?,?,?,?,?,?,?,?,5160,138,1,2582,126,64,240,293,815,285,234,485,?,?,?,?,?,?,?,?,?,?,?,?,5160,2648,1,4416,32,24,135,83,815,280,136,485,?,?,?,?,?,?,?,?,?,?,?,?,5160,220,1,6741,4393,3571,90,855,485,1240,902,700,55,405,700,900,630,108,?,?,?,?,?,?,3780,2685,2,3
3757,7136,5382,4800,480,137,734,1020,1178,349,1045,1765,349,966,820,407,?,?,?,?,?,?,1379,16072,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,13651,9969,9757,240,555,407,720,1140,349,795,259,349,602,1226,711,?,?,?,?,?,?,1258,5902,2,1
3758,4310,1229,185,240,1238,815,760,743,609,?,?,?,?,?,?,?,?,?,?,?,?,7680,745,1,11472,591,27,240,762,128,810,702,609,?,?,?,?,?,?,?,?,?,?,?,?,3960,18293,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1881,6124,4572,90,2319,609,2055,1728,700,9975,9559,700,915,1172,538,?,?,?,?,?,?,3840,939,2,2
3759,10689,1395,172,240,1446,815,760,674,609,?,?,?,?,?,?,?,?,?,?,?,?,7740,2326,1,11457,673,42,240,830,128,810,620,609,?,?,?,?,?,?,?,?,?,?,?,?,3960,341,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,5653,1443,1254,150,288,609,500,538,128,2210,2178,128,835,692,732,?,?,?,?,?,?,3630,3073,2,2
3760,7525,147,148,210,149,663,450,329,500,89,136,500,901,924,815,460,523,815,845,718,371,5220,311,3,672,575,532,300,306,555,740,691,371,?,?,?,?,?,?,?,?,?,?,?,?,1560,61,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,7057,525,581,300,216,371,840,746,431,705,767,431,990,893,265,?,?,?,?,?,?,4020,6047,2,2
3761,12557,1569,59,240,1753,456,1180,894,349,1085,1262,349,385,298,721,?,?,?,?,?,?,370,3001,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,5669,392,202,240,281,721,660,580,481,305,471,481,1145,932,403,?,?,?,?,?,?,350,887,2,1
3762,8404,255,105,150,242,377,280,183,485,?,?,?,?,?,?,?,?,?,?,?,?,5160,2728,1,4035,56,27,135,110,815,295,216,485,?,?,?,?,?,?,?,?,?,?,?,?,5160,92,1,10143,128,39,135,175,815,285,243,485,?,?,?,?,?,?,?,?,?,?,?,?,5160,873,1,6802,1326,244,90,1113,485,1240,1074,700,240,404,700,790,693,635,?,?,?,?,?,?,3780,38,2,3
3763,9309,795,56,180,899,256,455,190,493,?,?,?,?,?,?,?,?,?,?,?,?,3960,1436,1,13940,106,12,150,198,128,475,203,493,?,?,?,?,?,?,?,?,?,?,?,?,3960,42,1,6071,732,255,180,620,256,3920,187,493,?,?,?,?,?,?,?,?,?,?,?,?,495,4300,1,926,884,59,300,1065,493,345,271,815,1660,1744,815,945,865,403,?,?,?,?,?,?,5160,657,2,3
3764,9092,1626,1470,300,418,700,1115,1319,128,630,327,128,900,524,388,?,?,?,?,?,?,3960,6289,2,3581,1180,213,240,891,815,580,732,349,190,294,349,570,917,388,?,?,?,?,?,?,5700,1483,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,11922,1995,1339,900,1485,388,630,500,349,255,395,349,1454,1326,341,?,?,?,?,?,?,361,1225,2,2
3765,7151,5042,4597,180,565,484,695,1821,149,2555,1461,149,700,355,576,?,?,?,?,?,?,6840,8912,2,944,363,125,300,478,476,985,1047,815,635,596,815,415,18,576,?,?,?,?,?,?,6060,4686,2,13339,1212,813,180,513,476,685,317,815,285,656,815,415,139,576,?,?,?,?,?,?,6060,2400,2,7345,1906,1474,180,569,576,830,929,149,2550,2448,149,405,260,422,?,?,?,?,?,?,2580,4992,2,3
3766,5515,3179,912,240,2563,128,900,607,388,?,?,?,?,?,?,?,?,?,?,?,?,3960,204,1,3721,888,608,180,405,128,265,218,815,550,618,815,200,825,388,?,?,?,?,?,?,5220,4373,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,8281,5820,5664,180,161,388,420,393,349,635,1318,349,1431,1128,548,?,?,?,?,?,?,604,1795,2,2
3767,1752,906,145,240,980,456,1015,785,128,650,864,128,385,119,485,?,?,?,?,?,?,3960,389,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,13501,691,397,90,354,485,1250,824,700,455,859,700,790,573,635,?,?,?,?,?,?,3780,3070,2,1
3768,14646,355,272,180,201,128,265,202,815,890,957,815,225,161,649,?,?,?,?,?,?,4740,1254,2,3730,238,121,150,210,128,260,161,815,895,994,815,225,146,649,?,?,?,?,?,?,4740,60526,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,390,469,363,240,282,649,295,285,815,515,538,815,295,210,485,?,?,?,?,?,?,5160,724,2,2
3769,9743,1268,473,240,976,815,740,915,206,?,?,?,?,?,?,?,?,?,?,?,?,5100,3406,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,13856,9311,6017,180,3337,206,1220,666,256,3105,3747,256,1050,375,588,?,?,?,?,?,?,3510,3284,2,1
3770,9845,299,137,135,236,815,290,146,485,?,?,?,?,?,?,?,?,?,?,?,?,5160,120,1,10407,242,113,135,255,815,285,266,485,?,?,?,?,?,?,?,?,?,?,?,?,5160,167,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,14475,378,447,420,291,485,100,27,815,385,461,815,225,189,649,?,?,?,?,?,?,4740,4402,2,2
3771,14117,12915,12885,300,288,308,800,721,485,?,?,?,?,?,?,?,?,?,?,?,?,1140,1569,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,6976,2494,624,180,574,485,885,694,149,?,?,?,?,?,?,?,?,?,?,?,?,6680,2342,1,1
3772,7994,750,335,180,547,695,565,597,555,290,283,555,825,716,690,?,?,?,?,?,?,2940,12,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1860,1510,1510,310,269,690,770,831,555,340,268,555,410,205,641,?,?,?,?,?,?,1140,2453,2,1
3773,12572,2126,132,240,2186,456,1200,946,349,660,878,349,385,225,721,?,?,?,?,?,?,370,389,2,12560,220,165,240,298,456,1180,894,349,1085,1262,349,385,300,721,?,?,?,?,?,?,370,3437,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,10263,717,231,150,579,721,125,141,128,380,373,128,780,625,561,?,?,?,?,?,?,4230,3801,2,2
3774,10820,239,24,135,320,815,290,179,485,?,?,?,?,?,?,?,?,?,?,?,?,5160,125,1,4601,181,53,135,199,815,285,190,485,?,?,?,?,?,?,?,?,?,?,?,?,5160,590,1,10069,134,30,135,180,815,295,178,485,?,?,?,?,?,?,?,?,?,?,?,?,5160,113,1,5326,6151,4863,180,1408,485,885,729,149,690,864,149,635,524,468,?,?,?,?,?,?,6960,70,2,3
3775,14265,564,153,90,436,700,1080,873,113,?,?,?,?,?,?,?,?,?,?,?,?,3780,697,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,8327,49136,49015,90,166,113,1105,789,700,410,712,700,605,170,698,?,?,?,?,?,?,3780,8842,2,1
3776,13217,1290,1298,390,368,257,1175,944,349,1070,1175,349,390,334,721,?,?,?,?,?,?,485,3009,2,12251,1106,813,180,440,671,1200,954,349,1160,1397,349,215,122,721,?,?,?,?,?,?,975,4287,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,10212,1043,546,150,592,721,125,137,128,405,418,128,695,691,597,?,?,?,?,?,?,4230,577,2,2
3777,6538,2635,1880,90,782,700,585,187,257,?,?,?,?,?,?,?,?,?,?,?,?,3780,2871,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,13857,332,221,90,149,257,575,232,700,350,705,700,905,522,597,?,?,?,?,?,?,3780,2621,2,1
3778,2539,1802,624,240,1359,649,295,181,815,515,638,815,290,173,485,?,?,?,?,?,?,5160,1054,2,10687,653,130,240,722,815,290,224,485,?,?,?,?,?,?,?,?,?,?,?,?,5280,1663,1,10445,157,37,135,211,815,285,193,485,?,?,?,?,?,?,?,?,?,?,?,?,5160,109,1,7022,3057,1632,180,1553,485,885,1149,149,1610,1338,149,270,433,699,?,?,?,?,?,?,7020,1267,2,3
3779,8463,254,242,150,101,377,280,178,485,?,?,?,?,?,?,?,?,?,?,?,?,5160,1012,1,4624,215,217,135,93,815,280,151,485,?,?,?,?,?,?,?,?,?,?,?,?,5160,339,1,10758,88,72,135,91,815,295,174,485,?,?,?,?,?,?,?,?,?,?,?,?,5160,167,1,10344,673,624,360,367,485,750,556,609,465,641,609,780,638,416,?,?,?,?,?,?,1470,117,2,3
3780,4206,1085,163,150,1025,281,385,186,128,870,1173,128,815,678,371,?,?,?,?,?,?,4230,1343,2,13636,14854,14546,300,584,555,735,688,371,?,?,?,?,?,?,?,?,?,?,?,?,1560,1231,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,7981,340,353,300,249,371,840,641,431,645,822,431,900,714,798,?,?,?,?,?,?,2580,1676,2,2
3781,5574,1413,1375,240,261,411,850,641,128,1420,1649,128,930,770,317,?,?,?,?,?,?,3780,1796,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,3337,1109,361,180,868,317,610,588,332,?,?,?,?,?,?,?,?,?,?,?,?,840,2903,1,1
3782,11095,55,80,240,164,815,290,182,485,?,?,?,?,?,?,?,?,?,?,?,?,5160,4337,1,9952,62,38,135,101,815,295,198,485,?,?,?,?,?,?,?,?,?,?,?,?,5160,157,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,9709,7577,6126,90,1277,485,1250,821,700,1315,1950,700,890,613,108,?,?,?,?,?,?,3780,154,2,2
3783,10986,133,78,135,144,815,290,235,485,?,?,?,?,?,?,?,?,?,?,?,?,5160,1046,1,4721,90,46,135,139,815,285,171,485,?,?,?,?,?,?,?,?,?,?,?,?,5160,199,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,6779,5852,3429,90,2445,485,1240,863,700,1515,1921,700,970,727,196,?,?,?,?,?,?,3780,1071,2,2
3784,6441,14855,14535,300,665,555,735,583,371,?,?,?,?,?,?,?,?,?,?,?,?,1560,97,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,7705,2837,2330,1500,1967,371,995,791,815,1055,1254,815,255,217,326,?,?,?,?,?,?,5160,4430,2,1
3785,740,2695,2325,300,622,671,1045,998,609,?,?,?,?,?,?,?,?,?,?,?,?,1140,120,1,10284,170,230,240,200,366,630,474,134,45,122,134,725,609,609,?,?,?,?,?,?,4140,1325,2,88,4585,4105,300,749,671,1050,931,609,?,?,?,?,?,?,?,?,?,?,?,?,1140,3139,1,12023,2119,1936,180,303,609,1000,1491,317,?,?,?,?,?,?,?,?,?,?,?,?,660,13591,1,3
3786,2545,1700,336,90,1504,431,1780,1331,700,345,695,700,965,634,742,?,?,?,?,?,?,3780,1904,2,10129,6451,1906,90,4572,187,750,523,700,530,760,700,950,645,742,?,?,?,?,?,?,3780,12968,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,6055,1408,248,180,1303,742,1805,1597,485,?,?,?,?,?,?,?,?,?,?,?,?,720,281,1,2
3787,10150,1177,248,240,1112,815,615,627,798,?,?,?,?,?,?,?,?,?,?,?,?,5100,5892,1,1313,1244,629,300,855,128,660,740,349,1950,453,349,760,590,798,?,?,?,?,?,?,3960,1301,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,10398,1484,28,240,1649,798,695,571,128,475,626,128,945,688,174,?,?,?,?,?,?,3960,1912,2,2
3788,12244,741,544,180,317,671,1035,811,349,2840,3114,349,2034,793,778,?,?,?,?,?,?,846,1187,2,5943,2105,1747,400,727,700,1210,1210,349,2195,2190,349,2342,861,778,?,?,?,?,?,?,1804,377,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,9058,1215,361,600,1398,778,785,832,349,1095,1026,349,327,203,721,?,?,?,?,?,?,353,729,2,2
3789,3527,308,55,270,475,349,1100,1081,597,?,?,?,?,?,?,?,?,?,?,?,?,335,5267,1,12529,3771,3167,330,874,233,1000,848,815,800,958,815,890,800,597,?,?,?,?,?,?,5160,11609,2,8907,1043,943,240,292,128,960,704,597,?,?,?,?,?,?,?,?,?,?,?,?,3960,169,1,2055,1747,1544,90,240,597,1055,852,700,1175,1371,700,690,200,395,?,?,?,?,?,?,3780,1342,2,3
3790,9826,133,40,135,188,815,290,207,485,?,?,?,?,?,?,?,?,?,?,?,?,5160,304,1,1672,846,106,240,923,456,1015,778,128,650,906,128,385,118,485,?,?,?,?,?,?,3960,502,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,12279,1285,750,300,521,485,740,628,798,?,?,?,?,?,?,?,?,?,?,?,?,3960,1121,1,2
3791,3518,795,30,240,948,815,740,723,206,?,?,?,?,?,?,?,?,?,?,?,?,5100,23816,1,2209,3153,1650,90,1631,308,1045,814,233,1445,1555,233,995,588,206,?,?,?,?,?,?,3780,18840,2,4619,850,73,240,957,815,740,547,206,?,?,?,?,?,?,?,?,?,?,?,?,5100,12484,1,7774,6437,5346,90,1132,206,805,519,700,60,344,700,535,285,468,?,?,?,?,?,?,3780,612,2,3
3792,1232,2516,396,300,961,256,780,700,144,?,?,?,?,?,?,?,?,?,?,?,?,4080,3869,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,4945,1057,366,180,801,144,550,595,349,1650,1592,349,485,397,737,?,?,?,?,?,?,355,10232,2,1
3793,6104,46,18,150,133,727,400,131,128,575,918,128,800,671,356,?,?,?,?,?,?,4230,2545,2,829,430,142,300,559,555,3345,616,356,?,?,?,?,?,?,?,?,?,?,?,?,1440,143,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,10992,220,40,310,469,356,830,861,555,3480,3230,555,2700,1271,144,?,?,?,?,?,?,2280,2640,2,2
3794,13740,685,96,300,851,308,925,933,597,?,?,?,?,?,?,?,?,?,?,?,?,2760,4163,1,6239,2151,7,240,2337,128,960,708,597,?,?,?,?,?,?,?,?,?,?,?,?,3960,204,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,3978,3353,3237,90,137,597,1145,1001,700,330,482,700,965,747,742,?,?,?,?,?,?,3780,1406,2,2
3795,9936,1112,75,240,1219,815,780,732,609,?,?,?,?,?,?,?,?,?,?,?,?,7680,816,1,14083,7636,5006,90,2655,233,1015,575,609,?,?,?,?,?,?,?,?,?,?,?,?,3780,2379,1,726,1530,1160,300,611,671,1045,835,609,?,?,?,?,?,?,?,?,?,?,?,?,1140,2979,1,164,335,13,300,554,609,820,770,815,1245,1279,815,430,289,737,?,?,?,?,?,?,8050,1547,2,3
3796,3286,42990,42205,90,815,256,1240,852,700,380,793,700,920,524,538,?,?,?,?,?,?,3780,432,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,13662,2824,1804,90,1607,538,680,462,113,?,?,?,?,?,?,?,?,?,?,?,?,3780,1352,1,1
3797,10539,315,123,240,371,815,830,767,174,?,?,?,?,?,?,?,?,?,?,?,?,5460,1301,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,6256,2531,1795,90,763,174,630,257,700,210,587,700,935,635,538,?,?,?,?,?,?,3780,919,2,1
3798,736,195,118,300,367,308,800,596,485,?,?,?,?,?,?,?,?,?,?,?,?,1140,151,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,9792,199,163,180,155,485,210,221,134,?,?,?,?,?,?,?,?,?,?,?,?,2850,20,1,1
3799,13621,28,135,420,248,441,955,719,815,325,562,815,265,180,134,?,?,?,?,?,?,5160,12509,2,6669,101,74,150,136,128,830,180,134,?,?,?,?,?,?,?,?,?,?,?,?,3490,484,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,890,2308,1834,150,584,134,165,240,128,3130,3063,128,625,677,800,?,?,?,?,?,?,4230,1016,2,2
3800,4826,901,640,90,291,187,805,676,349,2105,2252,349,2049,1012,778,?,?,?,?,?,?,1327,322,2,2865,839,408,180,559,671,1200,959,349,1030,1269,349,2049,865,778,?,?,?,?,?,?,846,1239,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,3361,1146,587,780,1220,778,170,202,341,2325,2352,341,2568,2666,575,?,?,?,?,?,?,762,2,2,2
3801,11758,37994,36955,90,1069,815,1210,1021,700,205,408,700,585,1296,257,?,?,?,?,?,?,3780,4000,2,11696,18469,17207,90,1292,815,1210,1016,700,85,298,700,585,184,257,?,?,?,?,?,?,3780,2710,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,7614,297,78,240,415,257,1285,1237,128,640,629,128,1080,776,721,?,?,?,?,?,?,3960,263,2,2
3802,9247,1952,1590,90,394,700,1060,754,262,?,?,?,?,?,?,?,?,?,?,?,?,3780,41,1,7166,1565,959,90,1653,233,1430,1318,700,1285,408,700,1070,682,262,?,?,?,?,?,?,3780,23,2,6482,1746,904,90,1805,233,1430,1301,700,1285,482,700,1070,694,262,?,?,?,?,?,?,3780,2632,2,7571,2614,2435,90,216,262,1130,748,700,415,800,700,765,397,753,?,?,?,?,?,?,3780,4492,2,3
3803,10301,1006,173,240,1014,815,585,217,423,?,?,?,?,?,?,?,?,?,?,?,?,5100,2933,1,3706,1013,133,240,1071,815,585,194,423,?,?,?,?,?,?,?,?,?,?,?,?,5100,18752,1,4736,903,118,240,967,815,585,204,423,?,?,?,?,?,?,?,?,?,?,?,?,5100,11317,1,1362,2923,50,90,2903,423,1170,685,700,3245,3756,700,735,351,187,?,?,?,?,?,?,3780,9465,2,3
3804,4482,1104,48,240,1246,815,760,704,609,?,?,?,?,?,?,?,?,?,?,?,?,7680,244,1,13302,480,279,120,261,236,390,150,815,645,890,815,760,736,609,?,?,?,?,?,?,7680,1446,2,4678,1094,34,240,1262,815,760,699,609,?,?,?,?,?,?,?,?,?,?,?,?,7680,785,1,8645,1185,398,300,1045,609,905,903,597,?,?,?,?,?,?,?,?,?,?,?,?,2760,1472,1,3
3805,6253,343,228,90,167,700,1330,900,485,?,?,?,?,?,?,?,?,?,?,?,?,3780,2369,1,13398,165,98,300,366,308,780,685,485,?,?,?,?,?,?,?,?,?,?,?,?,1140,1872,1,10175,553,293,120,225,236,90,103,815,585,677,815,290,201,485,?,?,?,?,?,?,5160,223,2,12459,210,23,180,305,485,215,295,134,?,?,?,?,?,?,?,?,?,?,?,?,2880,1245,1,3
3806,10473,163,104,240,240,815,280,237,485,?,?,?,?,?,?,?,?,?,?,?,?,5160,1463,1,9883,183,6,135,269,815,290,285,485,?,?,?,?,?,?,?,?,?,?,?,?,5160,63,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1237,1394,818,90,621,485,1240,982,700,240,502,700,790,405,635,?,?,?,?,?,?,3780,391,2,2
3807,10935,56,41,135,93,815,295,145,485,?,?,?,?,?,?,?,?,?,?,?,?,5160,238,1,8606,545,111,300,693,790,650,473,485,?,?,?,?,?,?,?,?,?,?,?,?,3960,207,1,10533,166,72,135,188,815,285,153,485,?,?,?,?,?,?,?,?,?,?,?,?,5160,193,1,11216,598,575,150,109,485,95,39,815,390,451,815,225,190,649,?,?,?,?,?,?,4740,34884,2,3
3808,9810,70,46,135,106,815,295,238,485,?,?,?,?,?,?,?,?,?,?,?,?,5160,220,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,11213,499,696,420,165,485,100,29,815,385,472,815,225,146,649,?,?,?,?,?,?,4740,80,2,1
